Topic,Top Terms
Topic 00,energy,fuel,costs,alaskans,prices,cost,oil,mine,nome,now,high,home,public,being,crisis,resource,power,price,fairbanks,need,community,permitting,mining,villages,renewable,rebate,creek,use,residents,resources,homes,help,pfd,here,site,electric,program,relief,gold,rural,village,heating,people,communities,tax,needs,housing,page,plan,citizens,gasoline,paying,adak,electricity,city,2008,aea,rock,revenue,per,over,fund,steve,gallon,development,issues,year,coal,juneau,see,loan,railbelt,alternative,utilities,members,long,back,9/18/2009,sarah,take,pay,paul,corp,million,those,again,august,make,thank,payments,each,study,another,corporation,years,engineering,families,alaskan,due,1200
Topic 01,information,email,letter,attached,contact,phone,questions,2008,request,thank,page,use,cell,fax,call,personal,regarding,copy,need,draft,received,commissioner,number,department,sent,open,employees,report,e-mail,info,benefits,concerns,importance,assistance,send,list,staff,review,forward,high,meeting,plan,additional,website,you,update,each,policy,respond,2007,following,note,employee,date,access,action,below,find,electronic,confidential,computer,document,assistant,members,8/31/2009,password,final,communication,apoc,discuss,available,cabinet,work,attachments,business,include,account,intended,during,mail,enrollment,web,immediately,due,latest,sincerely,disaster,click,9/18/2009,select,important,response,division,further,such,listed,annual,services,link,calls
Topic 02,you,meeting,thanks,good,talk,today,going,want,week,work,next,call,don,think,see,need,back,take,very,well,working,told,sure,wanted,day,few,make,mike,morning,last,thought,called,asked,meet,that,here,hear,agia,tomorrow,staff,before,there,heard,ask,issues,now,much,juneau,still,opportunity,spoke,help,again,things,group,sean,over,etc,doing,give,team,something,job,forward,tonight,through,great,didn,hope,folks,first,yesterday,down,soon,together,come,being,plan,right,trip,met,anything,someone,sorry,keep,conversation,talked,coming,phone,getting,having,look,couple,until,tell,schedule,went,really,issue,thinking
Topic 03,roston,west,released,presented,crivella,todd,house,erika,juneau,10/14/2009,phone,fax,thanks,first,fagerstrom,residence,avenue,99801,manager,family,executive,flight,travel,716,you,calhoun,10/15/2009,king,need,information,gentleman,hello,check,here,907-465-2031,schedule,work,907-465-3500,willow,spencer,piper,kari,air,make,bristol,code,scheduler,foundation,date,seats,ofalaska,arrive,assistant,907-465-3986,fundraiser,confirmation,airlines,2007,ticket,see,thank,mansion,call,seat,907-465-3889,want,tickets,airport,list,lunch,number,there,tea,put,itinerary,questions,janice,907465-3500,linda,june,girls,available,trip,907465-2031,sarah,ladies,events,something,use,sure,anch,give,march,that,run,dep,reception,don,galena,send
Topic 04,<http,news,=fe38167174660474771270,net,=fec516737161017a,=ffcfl4,<http://,=fef911737c6706,cl.exct.net,cl.exct,=fdf315747d6c007e7510737c,=ffcfl4&t=>,<http://cl.exct.net/?,exxon,daily,chuck,email,=fdf3l5747d6c007e7510737c,=fec5l6737161017a,assets,alert,=fef9ll737c6706,?ju=,com,sarah,google,thomson,www.adn,?ju,adn.com,problems,misc,shopping,mobil,kopp,help,valdez,adn,=fef91l737c6706,except,jobs,walt,point,=fef9l1737c6706,copyright,kenai,contact,energy,asked,offer,breaking,empire,abc,replacing,rural,leases,juneau,stories,drop,2008,field,advertising,press,gross,log,extension,starts,proposal,connections,debit,heath,problem,good,still,court,company,monday,department,natural,dir,aces,topic,utilize,decision,plan,remove,subscribe,published,outdoors,board,without,com/news,move,bootlegging,article,position,leading,better,personnel,newsletter
Topic 05,e-mail,@yahoo.com,gov.sarah,tibbles,michael,redact,parnell,sponsored,perry,dnr,sarah,privilege,email,redacted,sec,balash,irwin,communication,law,tom,constitution,art,leighow,attorney-client,kristina,sharon,privacy,colberg,talis,joseph,rutherford,sean,nizich,stapleton,request,patrick,potential,log,galvin,patin,bruce,anders,meghan,messages,privileg,mike,leschper,john,records,public,rehfeld,marty,bailey,karen,page,beth,claim,sent,martha,frye,bitney,draft,board,thread,budget,dor,doa,kelly,frank,p.m,todd,number,mason,ruaro,press,a.m,ivy,joe,kreitzer,response,appointee,annette,randall,document,appointees,rep,janice,von,:38,russell,scheben,leo,strategy,tax,dot,maid,release,proposed,phone,personnel
Topic 06,gas,oil,pipeline,agia,project,natural,north,producers,companies,tax,company,energy,development,slope,production,resources,line,gasline,transcanada,plan,said,billion,million,administration,industry,conoco,forward,proposal,under,conocophillips,years,first,legislature,nation,license,alaskans,terms,through,fact,future,exxon,fiscal,open,make,many,500,build,before,provide,market,need,reserves,alliance,inducement,work,petroleum,needs,application,much,supply,act,percent,alaskan,without,year,canada,risk,over,construction,move,contract,investment,exploration,major,last,interest,rates,legislators,federal,interests,profits,today,very,now,support,high,want,prudhoe,three,those,the,projects,even,point,day,down,revenue,commit,take,world
Topic 07,frank,great,spam,yahoo,food,team,juneau,sarah,april,name,best,thank,around,names,protection,tired,mail,mark,etc,thanks,paper,monday,kris,hickel,together,commemorative,need,both,guys,bailey,phone,2007,quarter,you,ask,conference,over,scott,kids,miss,educ,ear,before,coin,asked,months,don,ppt,needs,11/10/2009,input,folks,forward,last,erika,brought,call,enjoy,sure,debate,press,too,mansion,page,://mail.yahoo.com,malcolm,media,idea,remember,six,lynne,visiting,awesome,unveil,murkowski,cathy,meals,benson,ken,soon,concept,controversy,smith,worth,sorry,drink,asmi,bonus,football,license,status,backbone,answers,fight,8/25/2009,todd,help,cell,sat,per
Topic 08,privileged,personal,material,redacted,907,ivy,boards,frye,director,sarah,commissions,fax,465-8110,465-3500,board,thanks,today,8/26/2009,privile,mike,you,commission,appointment,health,commissioner,council,page,palm,here,8/31/2009,draft,list,8/25/2009,think,want,guys,interested,names,thank,lbc,confidential,_gsp01,forward,8/24/2009,district,send,wanted,good,fairbanks,two,randy,members,privilege,changes,review,put,seat,student,she,appointments,update,nominations,still,9/18/2009,wrote,person,contacted,regarding,make,vacancy,service,need,call,contact,advisory,gspo1,recommendations,serve,richard,regent,both,through,yesterday,move,already,name,tibbles,court,before,sharon,now,going,human,regents,letters,talis,rights,mtab,spoke,candidate
Topic 09,yahoo,11/10/2009,check,thanks,autos,car,cars,wrote,email,smell,imagining,irresistible,need,search,ahhh,board,now,forwarded,travel,mobile,fwd,mail,8/25/2009,today,try,here,attached,two,note,find,parnell,games,don,answers,free,folks,very,piece,page,better,friend,miss,plan,info,matmaid,fish,newshound,appointed,looking,over,take,interview,pls,help,back,want,ivy,know-it-all,appointment,going,sea,kari,meghan,look,down,good,there,before,you,person,submit,@gov,mat,alan,play,farmers,meg,fisheries,resignation,word,working,next,toolbar,trustee,never,trying,figure,kris,fyi,weeks,considering,still,ask,happen,business,someone,until,this,started,_gsp01
Topic 10,email,senator,stevens,note,federal,jwkatz,changed,thank,energy,=3d,arctic,john,org,congressional,congress,relations,delegation,katz,anwr,special,gas,earmarks,work,senate,secretary,counsel,oil,committee,staff,decision,administration,support,issues,further,natural,letter,national,today,congressman,nga,asked,director,below,want,202)624-5858,resources,much,@alaskadc,policy,points,convention,legislation,power,current,@alaskadc.org.,governors,information,think,ted,between,state/federal,area,well,bush,attached,<mailto:jwkatz@alaskadc.org>,you,page,meeting,<mailto,morning,president,request,provide,states,good,several,conference,discuss,senators,coastal,press,wrote,young,concerning,now,issue,interior,opening,8/25/2009,talking,previous,response,d.c,situation,larry,people,house,confidential,murkowski
Topic 11,press,meghan,sarah,marty,agia,conference,stapleton,jim,director,tom,907.269.7450,communications,john,irwin,lng,dnr,meg,11/10/2009,907.269.7463,907.321.4975,joe,williams,cook,gasline,website,attached,decision,public,team,tomorrow,commission,thanks,inlet,commissioner,david,bruce,president,make,regarding,before,authority,review,rutherford,van,2007,calls,law,mark,briefing,port,order,marathon,measure,doe,department,morning,export,extension,thompson,information,doug,ceo,pat,page,lieutenant,release,available,fairbanks,january,agreement,consultants,version,mayor,lobbyist,steve,possible,kurt,you,comments,clark,questions,ballot,reed,robert,today,asked,deadline,issues,right,conoco,daniel,corrosion,companies,proposal,railroad,letter,meeting,wanted,importance,8/26/2009
Topic 12,school,waste,education,students,schools,million,read,email,market,student,policy,year,high,news,states,program,business,report,first,management,bulletin,2008,reports,information,higher,quarter,page,research,educational,energy,company,college,elementary,journal,share,learning,disposal,teachers,weekly,industry,per,recovery,landfill,national,facility,districts,services,inc,programs,district,over,teacher,facilities,wiche,parents,results,grant,2007,help,online,sites,conference,learn,study,based,distribution,power,recycling,second,skills,plant,revenue,processing,math,two,reading,volume,environmental,billion,analysis,president,review,directory,markets,alerts,science,through,city,epa,community,call,development,under,provides,capacity,forward,each,data,graduation,operations
Topic 13,907,deputy,press,sharon,communications,director,juneau,secretary,cell,leighow,release,269-7450,240-7943,465-4031,interview,agia,news,delegation,senator,murkowski,channel,7450,meeting,465,stevens,269,story,minutes,email,beth,media,anything,9/18/2009,tomorrow,questions,commissioner,irwin,sarah,week,last,next,mcallister,4031,both,question,fox,show,back,talk,you,ferc,interested,first,washington,need,help,daily,leschper,don,interviews,bill,immediate,240,rutherford,this,note,that,believe,907-465-3443,halcro,907-723-1321,what,8/31/2009,approve,thoughts,approval,availability,ask,told,andrew,empire,cut,well,now,quote,specific,asking,8/25/2009,polar,continue,gspo1,thanks,fyi,magazine,political,requested,7943,senators,thank,behind
Topic 14,adn,letter,issue,asked,made,lyda,need,walt,told,story,mike,even,alaskans,comment,article,never,comments,yesterday,today,heard,anyone,talk,give,session,news,thanks,public,sure,many,again,anything,response,sound,that,stevens,they,fagan,reporters,being,still,last,reporter,didn,emails,don,blog,think,sent,week,call,ago,wasn,want,editorial,sharon,kyle,received,make,morning,two,asap,before,reported,thought,fact,press,juneau,another,ktuu,report,days,wrote,she,this,info,monegan,back,idea,house,asking,read,harris,ppt,night,answer,first,wooten,now,pat,information,correct,informed,those,bitney,past,legislature,claims,case,same,talked
Topic 15,mail,web,from,thank,you,box,mccain,sarah,very,good,great,president,hope,john,sincerely,wasilla,work,keep,make,add,republican,family,support,doing,drive,consider,p.o,vice,best,think,job,e-news,name,running,@yahoo.com,being,party,respectfully,people,sure,gspo1,look,proud,someone,fairbanks,elections,99654,@gci.net,thanks,@hotmail.com,protocol,high,help,day,here,mrs,conservative,ave,way,country,service,ticket,next,last,palmer,person,wanted,presidential,few,appreciate,run,much,honorable,future,love,vote,senator,eagle,alaskan,believe,huckabee,regards,forward,states,hear,needs,making,really,read,going,over,leadership,live,elected,writing,mate,big,candidate,back,@mtaonline.net
Topic 16,:00,p.m,meeting,janice,:30,friday,a.m,event,monday,meet,call,thursday,schedule,tomorrow,anc,tuesday,attend,remarks,saturday,thanks,speech,mayor,conference,day,wednesday,afternoon,juneau,phone,july,morning,request,wed,location,available,sunday,evening,reception,signing,fairbanks,speak,bill,jnu,scheduling,arrive,today,received,october,attending,wasilla,scheduled,kris,need,set,kate,here,you,minutes,begich,depart,june,:15,flight,noon,2008,fyi,high,contact,invited,comm,before,thank,regards,ceremony,:00pm,attendance,aug,april,calendar,stop,telephone,room,morgan,dinner,august,:45,coordinator,luncheon,tent,commissioner,family,travel,hotel,welcome,center,cos,importance,requests,brief,approx,group
